ibse_factor_vinculo,ibse_factor_situacion,ibse_factor_control,ibse_factor_persona,ibse_total,monitor_ibse_complete
62.5,100,87.5,62.5,78.125,2
62.5,100,75,75,78.125,2
50,87.5,37.5,62.5,59.375,2
50,62.5,50,62.5,56.25,2
50,75,50,37.5,53.125,2
50,62.5,75,62.5,62.5,2
25,,75,50,,2
62.5,100,50,100,78.125,2
62.5,75,50,50,59.375,2
50,87.5,,62.5,,2
50,100,75,62.5,71.875,2
50,100,75,75,75,2
75,,75,100,,2
62.5,75,87.5,87.5,78.125,2
50,75,62.5,62.5,62.5,2
75,62.5,75,50,65.625,2
75,75,50,75,68.75,2
25,75,37.5,50,46.875,2
75,100,75,75,81.25,2
75,75,75,62.5,71.875,2
,75,75,62.5,,2
75,75,62.5,87.5,75,2
75,87.5,87.5,62.5,78.125,2
50,87.5,75,75,71.875,2
62.5,75,87.5,62.5,71.875,2
50,75,50,75,62.5,2
37.5,75,62.5,37.5,53.125,2
12.5,62.5,75,50,50,2
25,25,25,0,18.75,2
75,87.5,75,62.5,75,2
,62.5,62.5,37.5,,2
62.5,87.5,75,62.5,71.875,2
62.5,50,50,50,53.125,2
50,75,50,25,50,2
62.5,87.5,62.5,87.5,75,2
50,100,100,50,75,2
50,75,62.5,50,59.375,2
62.5,87.5,75,75,75,2
50,75,75,50,62.5,2
50,50,62.5,75,59.375,2
62.5,87.5,87.5,87.5,81.25,2
,87.5,50,37.5,,2
62.5,100,50,75,71.875,2
37.5,62.5,62.5,62.5,56.25,2
37.5,75,87.5,87.5,71.875,2
75,87.5,62.5,75,75,2
62.5,75,75,75,71.875,2
62.5,75,75,62.5,68.75,2
37.5,87.5,62.5,62.5,62.5,2
50,87.5,75,87.5,75,2
75,100,75,100,87.5,2
75,62.5,62.5,62.5,65.625,2
75,87.5,75,87.5,81.25,2
50,75,62.5,62.5,62.5,2
62.5,100,62.5,75,75,2
62.5,100,75,87.5,81.25,2
62.5,87.5,62.5,75,71.875,2
62.5,,62.5,75,,2
62.5,75,75,50,65.625,2
50,75,62.5,12.5,50,2
62.5,100,87.5,75,81.25,2
62.5,87.5,62.5,62.5,68.75,2
75,100,100,87.5,90.625,2
75,25,25,100,56.25,2
